name,brand,category,basePrice,mrp,stockQty,description,imageUrlList
Anno Dominii ADWB0000139 Watch Box,Anno Dominii,Watch Accessories,1499.00,1499.00,29,"Key Features of Anno Dominii ADWB0000139 Watch Box 5 Separate cushioned compartments for watches High Qualty Leatherette 5 removable Cushions AD Watch Case,Anno Dominii ADWB0000139 Watch Box (Black, Holds 5 Watches) Price: Rs. 1,499 Anno Dominii Leatherette Designer watch box for 5 Watches. Designer Style 5 Grid Men/Women Watch Box Large. • 100% brand new and high quality Color: Black, Metal lock offer increased security. • Clear Glass lid to enable easy viewing of the watches inside. • Keep the watches dust free 5 separate cushioned compartments and 5 removable Cushions inside for keeping watches organized. for watches. Aesthetically designed to keep your watches safe while you are on the move. Disclaimer: Please note the product/Watch Organiser is without watches, watches are only for reference.,Specifications of Anno Dominii ADWB0000139 Watch Box (Black, Holds 5 Watches) General Ideal For Unisex Compartment Type 5 Body Features Material Leather Other Body Features Keep the watches dust free 5 separate cushioned compartments and 5 removable Cushions inside for keeping watches organized Dimensions Width 10 cm Height 35 cm Depth 7.5 cm",http://img5a.flixcart.com/image/watch-box/7/g/4/adwb0000139-5-anno-dominii-adwb0000139-1100x1100-imaeggyhcphfr59f.jpeg|http://img5a.flixcart.com/image/watch-box/7/g/4/adwb0000139-5-anno-dominii-adwb0000139-original-imaeggyhcphfr59f.jpeg|http://img6a.flixcart.com/image/watch-box/7/g/4/adwb0000139-5-anno-dominii-adwb0000139-original-imaeggyh5jvtyneh.jpeg|http://img5a.flixcart.com/image/watch-box/7/g/4/adwb0000139-5-anno-dominii-adwb0000139-original-imaeggyhjxez3fkg.jpeg|http://img5a.flixcart.com/image/watch-box/7/g/4/adwb0000139-5-anno-dominii-adwb0000139-original-imaeggyha8trtgfz.jpeg
AKUP without-the-rain Ceramic Mug,AKUP,Coffee Mugs,259.00,500.00,59,"Key Features of AKUP without-the-rain Ceramic Mug Pack of 1 Mug,AKUP without-the-rain Ceramic Mug (300 ml) Price: Rs. 259 AKUP Ceramic coffee mugs gives you the best quality printed mugs which you can gift to your loved ones. We provide good quality of products with packing. Coffee mugs made of ceramic clay with the volume capacity of 300ml each. You can buy it for yourself to make your moment unforgettable forever. Specifications Product Dimensions: Mugs - Height: 9.5 cms, Diameter: 8 cms. Item Type: Coffee Mug Color: Multi-Color Material: Clay Finish: Glossy Specialty: Lovely Style Wash care: Remove dirt by using a soft fabric to clean and then wipe with a moist cloth. Disclaimer: The fine design, pattern and color tone of the product may vary slightly from that shown in the image. However, there would not be any compromise in quality. Brand: AKUP designs & co,Specifications of AKUP without-the-rain Ceramic Mug (300 ml) General Type Mug Mug Capacity 300 ml Material Ceramic Freezer Safe Yes Microwave Safe No Dimensions Diameter 8 mm Weight 330 g Height 9.5 mm Depth 8 mm In the Box Sales Package 1 Mug",http://img6a.flixcart.com/image/mug/e/d/d/1-akup-without-the-rain-1100x1100-imaegtng9md4seth.jpeg|http://img5a.flixcart.com/image/mug/e/d/d/1-akup-without-the-rain-original-imaegtng9md4seth.jpeg|http://img6a.flixcart.com/image/mug/e/d/d/1-akup-without-the-rain-original-imaegtngdyfvvfyb.jpeg|http://img6a.flixcart.com/image/mug/e/d/d/1-akup-without-the-rain-original-imaegtngdms6649d.jpeg
Anuradha Art Chabi Challa Brooch,Anuradha Art,Accessories,2650.00,4800.00,40,"Key Features of Anuradha Art Chabi Challa Brooch challa,Anuradha Art Chabi Challa Brooch (Pink) Price: Rs. 2,650 Creatively designed this pink colored royal looking challa from Anuradha Art Jewellery is something which will make you look outstanding. It feature eye-pleasing mango shape design & has embellishment of kundan, ruby stones & emerald stone. This antique golden finish metal crafted challa has multiple hanging strings with pearl bead droplets for added attraction.,Specifications of Anuradha Art Chabi Challa Brooch (Pink) General Precious/Artificial Jewellery Fashion Jewellery Plating 18K Yellow Gold Ideal For Women Dimensions Height 269 mm Width 40 mm Warranty The Product Is Covered Under 30 Days Replacement Guarantee. In the Box Number of Contents in Sales Package Pack of 1 Sales Package 1 Chabi Challa Additional Features Accessorize with this traditional ornamented Waist Key Chain/ Saree Challa/ Satka to your vibrant, tangerine gown/ Saree for an enhanced look",http://img6a.flixcart.com/image/brooch/s/y/5/1-cl-74-anuradha-art-chabi-challa-1100x1100-imaehyn66pudpzgc.jpeg|http://img6a.flixcart.com/image/brooch/s/y/5/1-cl-74-anuradha-art-chabi-challa-original-imaehyn66pudpzgc.jpeg|http://img5a.flixcart.com/image/brooch/s/y/5/1-cl-74-anuradha-art-chabi-challa-original-imaehyn6vywervxf.jpeg
Itz About U Coin Drops Alloy Necklace,Itz About U,Necklaces & Chains,499.00,840.00,37,Itz About U Coin Drops Alloy Necklace - Buy Itz About U Coin Drops Alloy Necklace only for Rs. 499 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img5a.flixcart.com/image/necklace-chain/r/v/n/179-itz-about-u-necklace-original-imae7jhhpcansube.jpeg
Gking Hand Stiched Steering Cover For Maruti Ertiga,Gking,Gking Hand Stiched Steering Cover For Maruti Ert...,168.00,599.00,22,"Specifications of Gking Hand Stiched Steering Cover For Maruti Ertiga (Grey, Leather) General Brand Gking Model Number Ertiga Shade Grey Material Leather",http://img5a.flixcart.com/image/car-steering-cover/d/z/5/xcent-gking-1100x1100-imaehqtvfhyssm9h.jpeg|http://img6a.flixcart.com/image/car-steering-cover/d/z/5/xcent-gking-original-imaehqtvfhyssm9h.jpeg
GINI & JONY Solid Baby Boy's Round Neck Green T-Shirt,GINI & JONY,Kids' Clothing,239.00,399.00,29,"Key Features of GINI & JONY Solid Baby Boy's Round Neck Green T-Shirt Fit: Regular Suitable For: Western Wear Sleeve: Short Sleeve Fabric: 100 % COTTON,Specifications of GINI & JONY Solid Baby Boy's Round Neck Green T-Shirt T-shirt Details Sleeve Short Sleeve Number of Contents in Sales Package Pack of 1 Fabric 100 % COTTON Type Round Neck Fit Regular General Details Pattern Solid Occasion Casual Ideal For Baby Boy's In the Box 1 T-SHIRT Additional Details Style Code 121021689657 1253",http://img6a.flixcart.com/image/t-shirt/t/f/g/121021689657-1253-gini-and-jony-6-original-imaefywgdbpxgqyw.jpeg|http://img5a.flixcart.com/image/t-shirt/t/f/g/121021689657-1253-gini-and-jony-6-original-imaefywgdbpxgqyw.jpeg|http://img6a.flixcart.com/image/t-shirt/t/f/g/121021689657-1253-gini-and-jony-2-original-imaefywg5zxgbvha.jpeg
Madaam Women's Shift Dress,SwiftBrand,Women's Clothing,999.00,3999.00,43,"Madaam Women's Shift Dress                          Price: Rs. 999 				 			** Best Suited for (Inch):-  Medium:- Bust(33-40) , Waist(26-32) , Hip(37-47) , Length(26) Large:- Bust(34-42) , Waist(27-33) , Hip(38-50) , Length(27) ** Vinyl Panels on the front Very sultry and seductive, this strapless black mini dress with stretch vinyl panels on the front that is meant to shaping any wearer a more slender curvaceous silhouette on the base of formfitting design. What’s more, the shiny vinyl panels design is decorative which adds sparkle. This mini dress is a fantastic piece for those females who desire to show a sexiest contour at the party/club. ** Best Suited for (Inch):-  Medium:- Bust(33-40) , Waist(26-32) , Hip(37-47) , Length(26) Large:- Bust(34-42) , Waist(27-33) , Hip(38-50) , Length(27) ** Vinyl Panels on the front Very sultry and seductive, this strapless black mini dress with stretch vinyl panels on the front that is meant to shaping any wearer a more slender curvaceous silhouette on the base of formfitting design. What’s more, the shiny vinyl panels design is decorative which adds sparkle. This mini dress is a fantastic piece for those females who desire to show a sexiest contour at the party/club.",http://img5a.flixcart.com/image/dress/g/u/j/1-1-weven11-madaam-m-original-imae62ygfhs6ah4q.jpeg|http://img5a.flixcart.com/image/dress/g/u/j/1-1-weven11-madaam-m-original-imae62yggtztkhsa.jpeg|http://img5a.flixcart.com/image/dress/g/u/j/1-1-weven11-madaam-m-original-imae62ygdbbgrs7z.jpeg|http://img6a.flixcart.com/image/dress/g/u/j/1-1-weven11-madaam-m-original-imae62ygkzkhfawt.jpeg
612 League Girl's Shift Dress,SwiftBrand,Kids' Clothing,1011.00,1445.00,70,612 League Girl's Shift Dress - Buy BLACK 612 League Girl's Shift Dress For Only Rs. 1445 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img5a.flixcart.com/image/dress/y/j/v/ilw15i52045t-612-league-9-10-years-original-imaedmpfvphwxr5s.jpeg|http://img6a.flixcart.com/image/dress/y/j/v/ilw15i52045t-612-league-9-10-years-original-imaedmpfvphwxr5s.jpeg|http://img5a.flixcart.com/image/dress/y/j/v/ilw15i52045t-612-league-9-10-years-original-imaedmpe9w48zer5.jpeg
United Colors of Benetton Slim Fit Women's Trousers,United Colors of Benetton,Women's Clothing,1949.00,2999.00,24,"Specifications of United Colors of Benetton Slim Fit Women's Trousers General Details Pattern Self Design Occasion Casual Ideal For Women's Alteration Required No Color White Trouser Details Pleats Flat Front Closure Zipper Brand Fit Slim Fit Fabric Cotton, Polyester Type Pants Fit Slim Fit Belt Loops No Fly Zipper Additional Details Style Code 15P4D7VS53R338Q Fabric Care Machine Wash as per Tag, Dry Clean, Do not Bleach, Do not Tumble Dry, Iron Steam or Dry as per Tag",http://img6a.flixcart.com/image/trouser/3/t/n/15p4d7vs53r338q-united-colors-of-benetton-42-original-imaeb2tbubxz2y6n.jpeg|http://img5a.flixcart.com/image/trouser/3/t/n/15p4d7vs53r338q-united-colors-of-benetton-42-original-imaeb2tbubxz2y6n.jpeg|http://img6a.flixcart.com/image/trouser/3/t/n/15p4d7vs53r338q-united-colors-of-benetton-42-original-imaeb2tbpzpyhrsx.jpeg|http://img5a.flixcart.com/image/trouser/3/t/n/15p4d7vs53r338q-united-colors-of-benetton-42-original-imaeb2tc2ykmeek5.jpeg
"Denver Caliber,Pride Combo Set",SwiftBrand,Fragrances,370.00,409.00,77,"Flipkart.com: Buy Denver Caliber,Pride Combo Set online only for Rs. 370 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!",http://img6a.flixcart.com/image/combo-gift-set/4/a/u/denver-original-imaebpfrraajeafe.jpeg|http://img5a.flixcart.com/image/combo-gift-set/4/a/u/denver-original-imaebpfrraajeafe.jpeg
Antshrike Men's Pyjama,Antshrike,Men's Clothing,1499.00,2299.00,58,"Key Features of Antshrike Men's Pyjama Multicolor Cotton,Antshrike Men's Pyjama (Pack of 4) Price: Rs. 1,499 Antshrike Men's Cotton Woven Pyjama Night pant is used to wear at night times and for daily use purpose. As the night pant is made of cotton with woven style it gives an comfort feel at night times.Also available in many combos.,Specifications of Antshrike Men's Pyjama (Pack of 4) General Details Pattern Striped Ideal For Men's Occasion Casual Pyjama Details Number of Contents in Sales Package Pack of 4 Fabric Cotton Additional Details Style Code MENTRK128 In the Box 4 Pyjama",http://img5a.flixcart.com/image/pyjama/a/f/f/mentrk128-antshrike-xl-original-imaegqwn6hss2hp8.jpeg|http://img5a.flixcart.com/image/pyjama/t/a/4/mentrk133-antshrike-m-original-imaefrr49a8uhkhv.jpeg|http://img6a.flixcart.com/image/pyjama/c/e/8/mentrk129-antshrike-m-original-imaefrr45vmshqgb.jpeg|http://img5a.flixcart.com/image/pyjama/a/f/f/mentrk128-antshrike-xl-original-imaefrr46hbenbhd.jpeg|http://img6a.flixcart.com/image/pyjama/a/f/f/mentrk128-antshrike-xl-original-imaefrr4ctg2xcgr.jpeg
Webplaza Printed Men's Round Neck T-Shirt,SwiftBrand,Men's Clothing,299.00,599.00,38,Webplaza Printed Men's Round Neck T-Shirt - Buy Multicolor Webplaza Printed Men's Round Neck T-Shirt For Only Rs. 599 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,http://img6a.flixcart.com/image/t-shirt/k/x/g/179181-webplaza-xl-700x700-imae9wmhpy8zk5vu.jpeg|http://img6a.flixcart.com/image/t-shirt/k/x/g/179181-webplaza-xl-original-imae9wmhpy8zk5vu.jpeg|http://img5a.flixcart.com/image/t-shirt/k/x/g/179181-webplaza-xxl-original-imae9wmhmhr94zf2.jpeg|http://img6a.flixcart.com/image/t-shirt/7/6/8/179166-webplaza-m-original-imae8gg7y64rseu3.jpeg
Nike Extreme Combo Set,SwiftBrand,Fragrances,400.00,500.00,39,Flipkart.com: Buy Nike Extreme Combo Set online only for Rs. 394 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img6a.flixcart.com/image/combo-gift-set/e/4/v/nike-original-imae8qp5vfyjxktz.jpeg|http://img5a.flixcart.com/image/combo-gift-set/e/4/v/nike-original-imae8qp5vfyjxktz.jpeg
NE Women's Leggings,SwiftBrand,Women's Clothing,499.00,1199.00,66,"NE Women's Leggings - Buy Ocean Green, Onion, Wine. NE Women's Leggings For Only Rs. 1199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com",http://img6a.flixcart.com/image/legging-jegging/v/4/9/1-1-lg-14-19-30-ne-xxl-original-imae8gf5v3hfhjff.jpeg|http://img5a.flixcart.com/image/legging-jegging/v/4/9/1-1-lg-14-19-30-ne-xxl-original-imae8gf5v3hfhjff.jpeg
Aroma Comfort Polyester Brown Printed Eyelet Window Curtain,Aroma Comfort,Curtains & Accessories,599.00,699.00,63,"Key Features of Aroma Comfort Polyester Brown Printed Eyelet Window Curtain Height: 182 cm Width: 121 cm,Specifications of Aroma Comfort Polyester Brown Printed Eyelet Window Curtain (182 cm in Height, Pack of 2) General Brand Aroma Comfort Designed For Window Type Eyelet Model Name Leaves Design Model ID AC-639 Color Brown Dimensions Length 182 cm In the Box Number of Contents in Sales Package Pack of 2 Body & Design Material Polyester",http://img6a.flixcart.com/image/curtain/h/u/p/ac-674-152-aroma-comfort-eyelet-leaves-design-1100x1100-imae5hnchc9ghdvs.jpeg|http://img6a.flixcart.com/image/curtain/h/u/p/ac-674-152-aroma-comfort-eyelet-leaves-design-original-imae5hnchc9ghdvs.jpeg
HEAVENLY Dress Baby Boy's  Combo,HEAVENLY,Infant Wear,820.00,1700.00,44,"HEAVENLY Dress Baby Boy's  Combo Price: Rs. 820 REGULAR SMOOTH AND 100% COTTON WEAR,Specifications of HEAVENLY Dress Baby Boy's  Combo Apparel Combo Details Knit Type Jersey Primary Product Size L Fabric Cotton Style Curved Sides Pattern HALF SLEEVE Fit Regular Fit Occasion Casual Ideal For Baby Boy's Design PRINTED Additional Details Style Code 2084-5SET-B Fabric Care GENTLE WASH, DO NOT BLEACH, WASH WITH COLD WATER In the Box Number of Contents in Sales Package 10",http://img6a.flixcart.com/image/apparels-combo/r/c/w/2084-5set-b-heavenly-original-imaegmymjdymcxuz.jpeg|http://img5a.flixcart.com/image/apparels-combo/r/c/w/2084-5set-b-heavenly-original-imaegmymjdymcxuz.jpeg|http://img5a.flixcart.com/image/apparels-combo/r/c/w/2084-5set-b-heavenly-original-imaegnycw5sp7d2n.jpeg|http://img5a.flixcart.com/image/apparels-combo/r/c/w/2084-5set-b-heavenly-original-imaegnydqnuzgjzx.jpeg|http://img6a.flixcart.com/image/apparels-combo/r/c/w/2084-5set-b-heavenly-original-imaegnyhhknjrhhy.jpeg|http://img6a.flixcart.com/image/apparels-combo/r/c/w/2084-5set-b-heavenly-original-imaegnykz7fesvbh.jpeg
Salt N Pepper 13-455 Pisa Black Boots,SwiftBrand,Women's Footwear,3746.00,4995.00,37,Salt N Pepper 13-455 Pisa Black Boots - Buy Salt N Pepper 13-455 Pisa Black Boots - Pisa only for Rs. 3746 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,http://img6a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-1100x1360-imadunfu77gnzzvz.jpeg|http://img5a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-original-imadunfu77gnzzvz.jpeg|http://img5a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-original-imadunfucdjg7rgz.jpeg|http://img5a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-original-imadunfuyznqt3ju.jpeg|http://img5a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-original-imadunfsvgvewrhs.jpeg|http://img6a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-original-imadunfshjqs2uvf.jpeg|http://img6a.flixcart.com/image/shoe/v/j/w/black-pisa-salt-n-pepper-40-original-imadusz24qhrjn8s.jpeg
